run_timestamp,experiment_id,model,area,history_or_lags,train_period,validation_period,test_period,evaluated_on,parameters,MAE,RMSE,MAPE,training_time_seconds,inference_time_seconds,observation,next_decision
2026-09-09 23:06:33+0200,TCN-A1,TCN (PyTorch),5059,"seq_len=36, channels=16, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,10305,88.55326625668224,125.48023852529364,8.142296448076912,53.42385559994728,0.0555173000320792,epochs=12 best_epoch=2 best_val_loss=0.017205 train_samples=5436,select on mean validation MAE
2026-09-09 23:06:33+0200,TCN-A1,TCN (PyTorch),5259,"seq_len=36, channels=16, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,10305,75.71393831366939,107.58429844213616,7.473256384698174,65.70102819986641,0.0677368002943694,epochs=15 best_epoch=5 best_val_loss=0.009239 train_samples=5436,select on mean validation MAE
2026-09-09 23:06:33+0200,TCN-A2,TCN (PyTorch),5161,"seq_len=144, channels=16, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,10305,100.96065909095636,146.34926914986346,9.320122489521378,116.63559630000964,0.2091437997296452,epochs=28 best_epoch=18 best_val_loss=0.011090 train_samples=5328,select on mean validation MAE
2026-09-09 23:06:33+0200,TCN-A2,TCN (PyTorch),5059,"seq_len=144, channels=16, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,10305,88.38081345958165,122.99560086926036,8.156461989006663,110.73219090001658,0.1684145997278392,epochs=19 best_epoch=9 best_val_loss=0.016530 train_samples=5328,select on mean validation MAE
2026-09-09 23:06:33+0200,TCN-A2,TCN (PyTorch),5259,"seq_len=144, channels=16, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,10305,73.13945749626932,103.84012562353296,7.122732882892241,144.1826309002936,0.1674796002916991,epochs=26 best_epoch=16 best_val_loss=0.008607 train_samples=5328,select on mean validation MAE
2026-09-09 23:06:33+0200,TCN-A3,TCN (PyTorch),5161,"seq_len=288, channels=16, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,10305,101.51357012560575,148.9042028744697,8.514609143952388,119.63478359999137,0.3511353996582329,epochs=16 best_epoch=6 best_val_loss=0.011481 train_samples=5184,select on mean validation MAE
2026-09-09 23:06:33+0200,TCN-A3,TCN (PyTorch),5059,"seq_len=288, channels=16, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,10305,87.47611222248885,123.80289023204594,7.662315367218259,106.55716429976746,0.3033565999940038,epochs=14 best_epoch=4 best_val_loss=0.016748 train_samples=5184,select on mean validation MAE
2026-09-09 23:06:33+0200,TCN-A3,TCN (PyTorch),5259,"seq_len=288, channels=16, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,10305,73.23621178144914,104.26587830255826,6.846666166711033,157.81388759985566,0.3452952997758984,epochs=25 best_epoch=15 best_val_loss=0.008678 train_samples=5184,select on mean validation MAE
2026-09-09 23:25:18+0200,TCN-B2,TCN (PyTorch),5161,"seq_len=288, channels=32, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,40577,98.5990963797388,147.4487891395545,8.280933624107174,203.2618976002559,0.5529118999838829,epochs=16 best_epoch=6 best_val_loss=0.011257 train_samples=5184,select on mean validation MAE
2026-09-09 23:25:18+0200,TCN-B2,TCN (PyTorch),5059,"seq_len=288, channels=32, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,40577,84.43378292316606,121.85319147233685,7.051786193944051,260.7853208999149,0.9438566998578608,epochs=17 best_epoch=7 best_val_loss=0.016225 train_samples=5184,select on mean validation MAE
2026-09-09 23:25:18+0200,TCN-B2,TCN (PyTorch),5259,"seq_len=288, channels=32, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,40577,71.18492123876173,102.88670460513444,6.656781775875046,597.477949900087,0.6579987998120487,epochs=42 best_epoch=32 best_val_loss=0.008450 train_samples=5184,select on mean validation MAE
2026-09-10 00:52:13+0200,TCN-FINAL,TCN (PyTorch),5161,"seq_len=288, channels=32, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,40577,88.57755347421578,125.29823405050541,11.331197724159427,250.10572520038113,0.8124970002099872,epochs=16 best_epoch=6 best_val_loss=0.011257 train_samples=5184,frozen; provisional comparison
2026-09-10 00:52:13+0200,TCN-FINAL,TCN (PyTorch),5059,"seq_len=288, channels=32, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,40577,79.60761301723329,114.32983241070768,7.712987828433892,269.17507970007136,1.0431710998527706,epochs=17 best_epoch=7 best_val_loss=0.016225 train_samples=5184,frozen; provisional comparison
2026-09-10 00:52:13+0200,TCN-FINAL,TCN (PyTorch),5259,"seq_len=288, channels=32, kernel=3, dilations=1-2-4-8-16-32-64, receptive_field=509, dropout=0.00",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,40577,66.8901130654424,96.31431270422726,7.620641834256209,605.1804756997153,0.680226500146091,epochs=42 best_epoch=32 best_val_loss=0.008450 train_samples=5184,frozen; provisional comparison
